beta_0,beta_1,beta_2,beta_3,tau1,tau2
2.3048918379759797,2.0208491606968755,3.1106045302021026,7.041489037066914,1.161740718682527,12.546817714996887
2.382800951019398,1.969188737737153,3.086017212451378,6.930229915904847,1.161740718682527,12.546817714996887
2.3605660169889275,2.0178563518307153,3.0294369933003664,7.013724946664162,1.161740718682527,12.546817714996887
2.498834738186464,1.9069932509215766,2.843425795304032,6.729840022228734,1.161740718682527,12.546817714996887
2.4535806359554697,1.9242468736534524,2.9689739399425914,6.793762685794133,1.161740718682527,12.546817714996887
2.464077879754175,1.9102218203067676,2.9263309476110657,6.726382963619163,1.161740718682527,12.546817714996887
2.430152861891551,1.9510254460997214,2.9134014795555947,6.6344027922656235,1.161740718682527,12.546817714996887
2.510641878681813,1.894248362045412,2.9493677646611745,6.419003101314468,1.161740718682527,12.546817714996887
2.753630887168645,1.6724860427829642,2.5852322594856894,5.530282390036508,1.161740718682527,12.546817714996887
2.832662138912352,1.5986332946165625,2.636394564399887,5.3444536328814145,1.161740718682527,12.546817714996887
2.720127561513589,1.7264998577748076,2.619175760167108,5.737694685795845,1.161740718682527,11.710380809514243
2.8441299158455493,1.6277921675054008,2.5921502327439883,5.443234658575036,1.161740718682527,12.546817714996887
2.807712064926773,1.6656673769529307,2.5109834751576185,5.441773854594631,1.161740718682527,12.546817714996887
4.019182696895934,0.3478754239710835,1.7145793055433065,1.9633632681384285,0.6041236743955456,10.8739351182997
4.106445701626212,0.27754770923907746,1.55690445307501,1.8916350158595987,0.6041236743955456,10.8739351182997
2.9425130152379775,1.5101251649961671,2.496550975573394,5.503240810444989,1.161740718682527,12.546817714996887
4.121896043241712,0.2356008065055708,1.629629863928392,2.2042478948735504,0.6041236743955456,10.8739351182997
2.8642652809545814,1.600731528075629,2.4596298009151747,5.971751306778077,1.161740718682527,11.710380809514243
4.1091737023108195,0.25990825564869835,1.5560253603777785,2.25234833807501,0.6041236743955456,10.8739351182997
4.0063183232713016,0.3616741359444133,1.6591418565084861,2.5977955375955255,0.6041236743955456,10.037463655730448
4.078822400161777,0.3137761081078604,1.564044015802271,2.4251866128131327,0.6041236743955456,10.037463655730448
4.040822091418553,0.32761753515774483,1.779294336003051,2.6206338605585517,0.6041236743955456,10.8739351182997
3.8599273455082312,0.54589961245179,1.7719032169506221,3.014677891476933,0.6041236743955456,10.8739351182997
3.884052445020719,0.5371849858591627,1.8085339360199006,3.0518772904001867,0.6041236743955456,11.710380809514243
3.686682424029138,0.7306258300349523,1.9176143209982766,3.480941894834591,0.6041236743955456,11.710380809514243
3.695722150418445,0.7294014964982716,1.9533762030732773,3.5364191006249426,0.6041236743955456,11.710380809514243
3.726714998351101,0.7612031356790405,1.8049823969465602,3.3690118659413484,0.6041236743955456,11.710380809514243
2.9220249559654707,1.7257748500256462,1.9988728653393568,5.865833116745849,1.161740718682527,12.546817714996887
3.0169496131753686,1.6254089646375527,1.9423289127223093,5.543184271422134,1.161740718682527,12.546817714996887
3.080221333052071,1.541564178700815,1.9879687977613434,5.407280475318262,1.161740718682527,12.546817714996887
2.9722769930784123,1.6485760178835218,1.940240993198875,5.574260274086545,1.161740718682527,12.546817714996887
2.9848694439094268,1.6303905802195042,1.9545211643634384,5.654932754399085,1.161740718682527,12.546817714996887
3.3605100192360795,1.282929039669038,1.7452168118164655,4.708470289862803,1.161740718682527,12.546817714996887
3.102992846827199,1.5109627596697344,2.066679092394026,5.620314438488416,1.161740718682527,12.546817714996887
3.1034222583665145,1.4871022857381786,2.1469455011981267,5.784464948954514,1.161740718682527,12.546817714996887
3.1755244564767717,1.4131444261079134,2.0050577496401583,5.589311590847827,1.161740718682527,12.546817714996887
3.128547778630221,1.482043362774169,2.155034421202403,5.7449174974281,1.161740718682527,12.546817714996887
2.9024945339475283,1.6996991303485682,2.3274937326975964,6.4789904348857865,1.161740718682527,12.546817714996887
2.807833349242044,1.7823338858747273,2.337899259281438,6.724581989669456,1.161740718682527,12.546817714996887
2.9356626938339314,1.6766924627894537,2.2333251053280736,6.532950159840291,1.161740718682527,12.546817714996887
3.01539730282803,1.5852563955016454,2.247292450837497,6.523813767504545,1.161740718682527,12.546817714996887
2.787510798459277,1.8151021829379987,2.5240615446679775,7.23910708233468,1.161740718682527,12.546817714996887
2.6865072607704437,1.9132466067459672,2.6081859575527733,7.413638741067695,1.161740718682527,12.546817714996887
2.6870723896770827,1.9046414560296234,2.7156353804622575,7.569980770409527,1.161740718682527,12.546817714996887
4.078815683623992,0.34565029999318736,2.0346302021793,3.5802285734626715,0.6041236743955456,11.710380809514243
3.971864970430833,0.4762728460532311,2.064905836471286,3.8302267910360808,0.6041236743955456,11.710380809514243
3.8395253704052825,0.6156710454878546,2.0659201154136135,4.225716005623048,0.6041236743955456,11.710380809514243
3.834072073537092,0.6232351758949627,2.0696006037359416,4.450382539703242,0.6041236743955456,11.710380809514243
3.902779059007255,0.5591718467135026,2.0089938771078835,4.227022556238273,0.6041236743955456,11.710380809514243
4.108165070009555,0.3960283951661951,1.7229358406274724,3.428287414086462,0.6041236743955456,12.546817714996887
3.9319363941790813,0.5590900852703562,2.0154514608973475,3.896179653908694,0.6041236743955456,11.710380809514243
4.0571696160815405,0.49036152971323665,1.8336567950555955,3.790353145601487,0.6041236743955456,11.710380809514243
4.163883758764315,0.3940496072290202,1.75969460137805,3.5412443695835605,0.6041236743955456,11.710380809514243
3.9811624692763514,0.5774665843917047,1.799014747773021,4.103089432146154,0.6041236743955456,11.710380809514243
3.853203911052511,0.6736030503794197,1.9292585119571226,4.495770117927037,0.6041236743955456,11.710380809514243
3.8723240605151,0.6587621176135816,2.134656685801318,4.641449496795861,0.6041236743955456,11.710380809514243
3.953219843309983,0.6279751584281973,1.896652914672597,4.288995655549342,0.6041236743955456,11.710380809514243
3.9451247178467717,0.6257407959149678,1.9831914699291464,4.4303965464336885,0.6041236743955456,11.710380809514243
3.9900187404835847,0.5291981805110224,2.094563730452837,4.269424655306232,0.6041236743955456,11.710380809514243
3.9004123005915483,0.6333258585872007,2.152784946359625,4.447366550424516,0.6041236743955456,11.710380809514243
3.984906676788497,0.5849951655028095,2.0954445651709843,4.136287281454351,0.6041236743955456,11.710380809514243
4.0326740103637455,0.6147852764298027,1.8615581531639378,4.019509858322837,0.6041236743955456,11.710380809514243
4.104565179975316,0.5109863435111359,1.8907559618904641,3.745257662251894,0.6041236743955456,11.710380809514243
4.108860399149728,0.4491612089733136,1.8573574377591948,3.851610234685627,0.6041236743955456,11.710380809514243
4.111652562107136,0.458072404703219,1.8546537918777588,4.051492345151375,0.6041236743955456,11.710380809514243
